ID,Item Name,Image,Category,Colour Name,Colour Family,Colour_is_neutral,Season,Fit,Style,BodyType,Lifestyle,Utility
B001,Skinny Jeans,B001.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/0xR5cwscUSTGZHk9lqBFiw/hg6dZtlxHwoOF9E9yebHxHUh7ZDfNLDm2p--_RSJnhiCcO-YWc5uqcxDG1pcMT-DtaoVBOTk3wSFcRgDU8bdHJ8RLbpPgSxJ-08t6L73qUO7HreeuAjqBvnXyoZsYlZH5-oTDs82sPFsNmYi3oNp-g/yymaLGrh0671EVQrfShPnNtfiNhEMQbXtMp9FdvmIQg),Bottom,Denim,Blue,True,All Season,Fitted ,"Classic,Chic,Romantic,Edgy,Preppy,Contemporary,Glamorous","Rectangle,Hourglass","Smart Casual,Lounge","Basics,Versitile"
B002,Straight Leg Jeans,B002.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/i94EopWy5J7Zf169qAj0zg/hljdrmI9mArPYyu0FASJEZSm5H7ySZoY7uJ7LR8J2TlATaQ0cc3cj8vv_DnZZDYZxgVNzD0Go4SHcbwHZiX6YGqqApf77dl1fZz8-UoV0IBd7uQ72RsVCm8QK_tlM8gzfweinVG7UM_5oZgYM8yB8A/JWaS4w8sb5mPrX27O9ecNRgs1D2w7rIDv-Yaj8HHT_U),Bottom,Denim,Blue,True,All Season,Relaxed,"Classic,Chic,Streetstyle,Bohemian,Edgy,Preppy,Contemporary","Rectangle,Pear,Apple","Smart Casual,Social/ Trendy,Lounge","Basics,Versitile"
B003,Mom Jeans,B003.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/F-TxydioAscMAtqhTrHI2g/QEOZyIHNcY0ROAW_MXPOUSVyzm9KAQhklAopWEP9tJcqh1W4zxlahqyHObm8bfrbr6Grbsb8W3YxYyuNWLIenqKyXRqr-f7rBkqz63yGTgcuki9-RDszR1LuOwJ-fjz8MdjZf4pvycqpPGo8vCs_bA/f5nP58nM4mvKfRZNBHC0RVwjcVAwgM6XU-aJaB1RLes),Bottom,Denim,Blue,True,All Season,Relaxed,"Classic,Bohemian,Streetstyle,Contemporary,Romantic,Preppy","Pear,Rectangle,Inverted Triangle,Apple","Lounge,Smart Casual",Basics
B004,Boyfriend Jeans,B004.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/OsYGJB8tvPZ0YJljt76TYw/Xg5wG-LY-qSG_peK8WVCriLpy-6XrrdxQ6jRjnXueRGInoSTvbenYzwc3lLaO1CCtk94QI_9_WWluZV68H6HM64454-s-bZI3OfvhkaB9xhepBycqeXtQzyZBMiUiUcmQIPB_o2XrZVHJUVnPDfNEA/0DRepHYtr59Ymem6HL2JG_1sKpF9bWoq5w2s7mwGsbI),Bottom,Denim,Blue,True,All Season,Relaxed,"Classic,Bohemian,Streetstyle,Contemporary,Romantic,Edgy","Pear,Rectangle,Inverted Triangle,Apple","Lounge,Smart Casual",Basics
B005,Flare Jeans,B005.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/0EFYcZ25Iax_avnsscdbMQ/DVii2c8Xd0NatTiGbxYR-hskIgUJ2EV6XP9gqLFf9CkAz4LM2G8ZwNySnvwHc9bag8GyNURKRSJEqV4zjTiK5FcpQmiq1nPTww3-t-VJph_EYlWW0NNdETKOrKN14h4pAiKwj6IjS8FQY2oLE_KT5A/XH1Xeq_OiMoAjDTlauXHtngh-YZim3IiRQ_xZsSheqo),Bottom,Denim,Blue,True,All Season,Fitted ,"Classic,Chic,Romantic,Edgy,Preppy,Glamorous","Hourglass,Pear,Inverted Triangle,Apple","Smart Casual,Social/ Trendy","Basics,Versitile"
B006,Wide-leg Jeans,B006.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/x_3n2INwg8rCp02SnNFajQ/nJHZGyvrC8TB7ov95yszFa-wR4ep_p4t-d2Rx1QmCF1o5K9wzseg_ztYxa9lbOXcNU5L2ieXmnFVczstt9N8eIi0582PbUpYJfZNUoLgEJIFevRt9z_VFCIb0oA1jlG0rMl19p5zfn41GvRT617r4w/QuamSWxX70sVeyeeGSxy05bK5BNTm2vjVUoppuvzPBI),Bottom,Denim,Blue,True,All Season,Relaxed,"Classic,Bohemian,Edgy,Streetstyle,Preppy,Contemporary","Hourglass,Pear,Inverted Triangle,Rectangle,Apple","Smart Casual,Lounge,Social/ Trendy","Basics,Versitile"
B007,Bootcut Jeans,B007.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/6Vn_10nf2A06lnFllrvCEw/SgJDbuNc3h004X8bYRr34He8maGRRn7WJdeOwh_POHYBXfohQfUjUAR_fE78rIHn4i9auu-jBQN5jTr9STWQO6WOIiIYsbNRgI7zyDF6NBUP9jsk_1tyTvDPhy7BRCmPmQ2qy8XSfgFrhFDhUu4QNg/Aj5gkjlpLhAqHke-g5TVkfjau4vCbVK6sLjTBYhId14),Bottom,Denim,Blue,True,All Season,Structured,"Classic,Chic,Romantic,Edgy,Preppy,Glamorous,Contemporary","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Smart Casual,Social/ Trendy,Lounge","Basics,Versitile"
B008,Wide Leg Trousers,B008.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/-JYyfN-IK3j08cc7AhbsDQ/kCqy4NPGnOh_aVCROXrp3Xi3uVHUaorAa_z1ev8snZqTKGEjWmzxsasaXAjrqsRknQZ97JR2ihHBLeZ5L_k3vNWe50jtZmtQbMQtWDMoDwCsjYYw-4sPmk6RKWYj-RAUuGye_jQbkVdHsbLx4NX5uQ/Slm7OvW_rYFQ7kafmFyCCdiy_-Lr1Lbzg_fK0mNsFx0),Bottom,Black,Black,True,All Season,Relaxed,"Classic,Chic,Romantic,Preppy,Glamorous","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Business Casual,Smart Casual,Social/ Trendy","Versitile,Statement"
B009,Tapered Trousers,B009.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/Lz_XQvOqQzXu55DB2jG-Bg/iJqq-5int39woK3ecXFrqX_JKEbxhqtm6X6_ON03bUDLQ2YLdVvEpPpaCnDQBkthy5qAVMAyYJLBu670yhanIEnulhmT3i5vaLglNB6HY-SStw5org-a4vD54FtW9vGoMhbOr4L0oKKWjTvdgTIBnA/BQjAuWO2GiYUwQxdnHnyFSTzJc2JOJESupI1l3HHuzo),Bottom,Indigo,Navy,True,All Season,Fitted ,"Classic,Chic,Romantic,Preppy,Contemporary","Pear,Rectangle,Apple","Business Formal,Business Casual,Smart Casual",Basics
B010,Wide Leg Trousers,B010.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/JSYwAVlCqNT2rmz52dCz5A/U9h8miMAUkJPkWuuHKXIHIZHgWLrmnjyUmCaFLx-4IBEekgv3PHjtEuGoePAk8bjrS_5l0BnxsB6NaN88EWGyXOpizyfgQarXuZTJlS62gpw_q1h632wA9Ji_sbaICp3P4VMAw6mnyJ4TqlBYrUBNg/6etzpLXzfbb7TCEfBoShkqkNdX6kAhJmmCM0Q5Y2UH8),Bottom,Saddle Brown,Brown,True,All Season,Structured,"Classic,Chic,Romantic,Bohemian,Preppy,Contemporary","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Business Formal,Business Casual,Smart Casual",Basics
